INSERT INTO CROP (CropName, CropCategory, ShelfLife) 
VALUES
('Wheat', 'Cereals', '365'),
('Sorghum', 'Cereals', '365'),
('Oats', 'Cereals', '365'),
('Maize', 'Cereals', '365'),
('Barley', 'Cereals', '365'),
('Millet', 'Cereals', '365'),
('Quiona', 'Cereals', '365'),
('Jowar', 'Cereals', '365'),
('Beet', 'Roots_and_Tubers', '15'),
('Potato', 'Roots_and_Tubers', '15'),
('Turnips', 'Roots_and_Tubers', '15'),
('Radishes', 'Roots_and_Tubers', '15'),
('Ginger', 'Roots_and_Tubers', '15'),
('Sweet Potato', 'Roots_and_Tubers', '15'),
('Elephant Yam', 'Roots_and_Tubers', '15'),
('Taro', 'Roots_and_Tubers', '15'),
('Sugar beet', 'Sugar_Crops', '60'),
('Sugarcane', 'Sugar_Crops', '60'),
('Sweet Sorghum', 'Sugar_Crops', '60'),
('Sugar maple', 'Sugar_Crops', '60'),
('Sugar Palm', 'Sugar_Crops', '60'),
('Mung daal', 'Pulses', '365'),
('Chawli daal', 'Pulses', '365'),
('Masoor daal', 'Pulses', '365'),
('Sabat masoor', 'Pulses', '365'),
('Toor daal', 'Pulses', '365'),
('Rajma', 'Pulses', '365'),
('Hari matar', 'Pulses', '365'),
('Safed Matar', 'Pulses', '365'),
('Chana daal', 'Pulses', '365'),
('Urad daal', 'Pulses', '365'),
('Chori daal', 'Pulses', '365'),
('Moth daal', 'Pulses', '365'),
('Kala chana', 'Pulses', '365'),
('Safed chana', 'Pulses', '365'),
('Labhia', 'Pulses', '365'),
('Poha', 'Pulses', '365'),
('Til', 'Pulses', '365'),
('Sago', 'Pulses', '365'),
('Bhatt daal', 'Pulses', '365'),
('Vaal daal', 'Pulses', '365'),
('Almond', 'Nuts', '120'),
('Cashew', 'Nuts', '120'),
('WalNuts', 'Nuts', '120'),
('Pecans', 'Nuts', '120'),
('ChestNuts', 'Nuts', '120'),
('HazelNuts', 'Nuts', '120'),
('Raisins', 'Nuts', '120'),
('Dried fig', 'Nuts', '120'),
('Flax seed', 'Nuts', '120'),
('Date', 'Nuts', '120'),
('Pistachio', 'Nuts', '120'),
('Betel nut', 'Nuts', '120'),
('Lotus seed', 'Nuts', '120'),
('Poopy seed', 'Nuts', '120'),
('Waterrmelon seed', 'Nuts', '120'),
('Soyabean', 'Oil_Bearing_Crop', '240'),
('Cotton seed', 'Oil_Bearing_Crop', '240'),
('Sunflower seed', 'Oil_Bearing_Crop', '240'),
('PeaNuts', 'Oil_Bearing_Crop', '240'),
('Mustard', 'Oil_Bearing_Crop', '240'),
('Coconut', 'Oil_Bearing_Crop', '240'),
('Palm', 'Oil_Bearing_Crop', '240'),
('Niger', 'Oil_Bearing_Crop', '240'),
('Linseed', 'Oil_Bearing_Crop', '240'),
('Olive', 'Oil_Bearing_Crop', '240'),
('Lettuce', 'Vegetables', '14'),
('Spinach', 'Vegetables', '14'),
('Cabbage', 'Vegetables', '14'),
('Cauliflower', 'Vegetables', '14'),
('Pumpkin', 'Vegetables', '14'),
('Cucumber', 'Vegetables', '14'),
('Celery ', 'Vegetables', '14'),
('Aspargus', 'Vegetables', '14'),
('Onion', 'Vegetables', '180'),
('Garlic', 'Vegetables', '180'),
('Tomato', 'Vegetables', '14'),
('Carrot', 'Vegetables', '14'),
('Eggplant', 'Vegetables', '14'),
('Corn', 'Vegetables', '14'),
('Mushroom', 'Vegetables', '14'),
('Pepper', 'Vegetables', '14'),
('Coriander', 'Vegetables', '14'),
('Lemon', 'Vegetables', '14'),
('Bitter gourd', 'Vegetables', '14'),
('Kantola', 'Vegetables', '14'),
('Mint', 'Vegetables', '14'),
('Ladys finger', 'Vegetables', '14'),
('Capsicum', 'Vegetables', '14'),
('Bottle gourd', 'Vegetables', '14'),
('Apple', 'Fruits', '14'),
('Banana', 'Fruits', '7'),
('Blue berry', 'Fruits', '7'),
('Custard Apple', 'Fruits', '7'),
('Cherry', 'Fruits', '14'),
('Crane berry', 'Fruits', '14'),
('Dragon fruit', 'Fruits', '14'),
('Fig', 'Fruits', '14'),
('Guava', 'Fruits', '14'),
('Grapes', 'Fruits', '14'),
('Jack fruit', 'Fruits', '14'),
('Jambu', 'Fruits', '14'),
('Kiwi', 'Fruits', '14'),
('Watermelon', 'Fruits', '21'),
('Mango', 'Fruits', '21'),
('Orange', 'Fruits', '14'),
('Pineapple', 'Fruits', '14'),
('Peach', 'Fruits', '14'),
('Pomegranate', 'Fruits', '14'),
('Papaya', 'Fruits', '14'),
('Tamarind', 'Fruits', '14'),
('Strawberry', 'Fruits', '14'),
('Star fruit', 'Fruits', '14'),
('Cotton', 'Fibers', '365'),
('Jute', 'Fibers', '365'),
('Coir', 'Fibers', '365'),
('Hemp', 'Fibers', '365'),
('Flax ', 'Fibers', '365'),
('Black peppercorns', 'Spices', '180'),
('Black cardamom', 'Spices', '180'),
('Green cardamom', 'Spices', '180'),
('Nutmeg', 'Spices', '180'),
('Cinnamon', 'Spices', '180'),
('Cloves', 'Spices', '180'),
('Cumin', 'Spices', '180'),
('Turmeric', 'Spices', '180'),
('Chilli', 'Spices', '180'),
('Fenugreek leaves', 'Spices', '180'),
('Fennel seed', 'Spices', '180'),
('Curry Leaves', 'Spices', '180'),
('Hing', 'Spices', '180'),
('Mango powder', 'Spices', '180'),
('Star Anise', 'Spices', '180'),
('Ajwain', 'Spices', '180');
